split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
10,DNABERT2_genomic_only,single_modality,1156,289,361,0.25969,,,0.64748,0.61723,0.60388,0.60556,0.60221,0.60556,0.60388,0.20777,109,71,72,109,0.46641,
10,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.34374,,,0.74457,0.7375,0.67313,0.70064,0.60773,0.73889,0.65089,0.3496,133,47,71,110,0.53619,
10,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.33796,,,0.74653,0.73393,0.68421,0.67725,0.70718,0.66111,0.69189,0.3687,119,61,53,128,0.4669,
10,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.35139,0.35,0.65,0.7233,0.72055,0.67313,0.71724,0.57459,0.77222,0.63804,0.35372,139,41,77,104,0.51477,
10,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.35194,0.4,0.6,0.72824,0.7008,0.66759,0.7047,0.58011,0.75556,0.63636,0.3409,136,44,76,105,0.51408,
10,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.32269,,,0.73996,0.72696,0.64543,0.75238,0.43646,0.85556,0.55245,0.32149,154,26,102,79,0.56655,protein_score; handcrafted_genomic_score
10,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.32461,,,0.74236,0.72114,0.64543,0.73451,0.45856,0.83333,0.56463,0.31473,150,30,98,83,0.56313,protein_score; dnabert2_genomic_score
10,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.32088,,,0.74343,0.72461,0.63712,0.7193,0.45304,0.82222,0.55593,0.29609,148,32,99,82,0.56364,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
11,Protein_only,single_modality,1155,289,362,0.36496,,,0.71066,0.68917,0.64088,0.59846,0.85635,0.42541,0.70455,0.31225,77,104,26,155,0.3697,
11,Handcrafted_genomic_only,single_modality,1155,289,362,0.28486,,,0.65898,0.66527,0.60221,0.57551,0.77901,0.42541,0.66197,0.21854,77,104,40,141,0.44885,
11,DNABERT2_genomic_only,single_modality,1155,289,362,0.33053,,,0.69696,0.69336,0.64365,0.69697,0.50829,0.77901,0.58786,0.29844,141,40,89,92,0.53662,
11,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1155,289,362,0.36336,,,0.73368,0.73179,0.65193,0.70992,0.51381,0.79006,0.59615,0.31617,143,38,88,93,0.58797,
